Unnamed: 0,Tuned LS PBE,Tuned HS PBE,Tuned LS SCAN,Tuned HS SCAN,DLPNO-CCSD(T) SSE,Tuned LS PBE SSE,Tuned HS PBE SSE,Tuned LS SCAN SSE,Tuned HS SCAN SSE
Fe_SANLAU_comp_0_6,55.0,42.3040771484375,31.029586791992188,39.50584411621094,-21.16180247001239,-32.933474868232324,-20.783158741729434,-10.9369997789554,-18.54501565300762
Fe_SASXES_comp_2_111111,28.22547912597656,,22.81280517578125,,-68.77514581529567,-52.18722647325379,,-47.59494068163284,
Fe_SEDQOI_comp_0_111111,41.679229736328125,49.33883666992188,39.926605224609375,48.96240234375,-32.795754752590945,-33.59116799315497,-41.35669114072038,-34.3297054321075,-42.925293598302474
Fe_SELFAQ_comp_1_111111,31.4422607421875,47.32093811035156,27.689437866210938,44.808349609375,-25.91811693013767,-23.342064584757843,-34.4437954727961,-19.46311020592819,-32.312565139387196
Fe_VOBHUP_comp_0_2211,21.032867431640625,33.99467468261719,18.516845703125,31.18026733398437,-31.02240837740624,-13.419296263358575,-25.209520239657728,-14.941054813360735,-24.53976749502479
Fe_WABHIR_comp_0_111111,39.99198913574219,50.690460205078125,,47.3773193359375,-55.79912226022316,-60.64488584597704,-65.44291409011063,,-62.259356025296114
Fe_XILLEK_comp_0_111111,45.40824890136719,50.417327880859375,43.23829650878906,53.184661865234375,-45.56081845496578,-53.95502386542096,-56.254662529114206,-50.54605617201586,-56.56101272194317
Fe_XIQFIN_comp_1_111111,29.242935180664062,,23.495025634765625,,-61.551687722505896,-49.561470721142136,,-47.18833001661742,
Fe_XOPSEB_comp_0_411,36.62345886230469,47.41355895996094,58.95256042480469,44.564056396484375,-33.28432060478747,-37.4580018322106,-44.20075175275109,-51.225218580839794,-41.79989535507428
Mn_AQAWIY_comp_0_411,31.856002807617188,45.0,25.630111694335938,45.0,-57.51152081477017,-61.311395206972854,-68.69618311292899,-64.60319330292818,-73.8023818705351
Mn_FAMBOL_comp_1_111111,53.04351806640625,63.079376220703125,52.96432495117188,60.48873901367188,-85.84827437248691,-88.30215021131833,-93.3676355263367,-89.83564667806942,-93.80261284361869
Mn_FARTOH_comp_0_3111,,58.75877380371094,,55.46592712402344,-60.43366218743245,,-78.57511009315141,,-81.43011984187251
Mn_GEGLIP_comp_0_3111,,,,,-35.98736972486392,,,,
Mn_LEZMEK_comp_1_111111,34.873046875,38.07929992675781,29.951934814453125,34.63417053222656,-32.26241928502077,-39.2386839965065,-41.783159910354094,-38.61330504393522,-42.42083518176348
Mn_MEDHOS_comp_0_3111,32.46253967285156,51.08657836914063,31.270523071289062,52.6129150390625,-29.170979667444502,-34.22142621594135,-48.85387378208009,-36.530061528350736,-53.34894169831295
Mn_MNACAC_comp_0_2211,100.0,79.10072326660156,100.0,79.55894470214844,-85.40934753496117,-108.05930784712302,-99.39691657445915,-97.63166856623954,-90.05754496485423
Mn_PUKJIR_comp_0_111111,64.53819274902344,65.0,64.46395874023438,62.511138916015625,-91.63308643253232,-98.18564906157498,-98.37973204467264,-100.56140359471455,-99.75027260951306
Mn_QETLAC_comp_0_2211,60.0,,30.94062805175781,70.0,-89.93467924504898,,,,
Mn_VUMSON_comp_0_111111,,72.47428894042969,,73.61976623535156,-89.99705713761614,,,,
